# Time(fs) Population Fitted_Population
8.790000000000000000e+02 1.494999999999999628e-02 1.667854964233395900e-03
8.800000000000000000e+02 1.500999999999999904e-02 1.656079389223649593e-03
8.810000000000000000e+02 1.489599999999999431e-02 1.644386953437507399e-03
8.820000000000000000e+02 1.504599999999999688e-02 1.632777069886182531e-03
8.830000000000000000e+02 1.542999999999999754e-02 1.621249155725207856e-03
8.840000000000000000e+02 1.545199999999999178e-02 1.609802632225184986e-03
8.850000000000000000e+02 1.465599999999999542e-02 1.598436924742719853e-03
8.860000000000000000e+02 1.496199999999999787e-02 1.587151462691583151e-03
8.870000000000000000e+02 1.553400000000000614e-02 1.575945679514062676e-03
8.880000000000000000e+02 1.532999999999999988e-02 1.564819012652515383e-03
8.890000000000000000e+02 1.575799999999999770e-02 1.553770903521135404e-03
8.900000000000000000e+02 1.556599999999999824e-02 1.542800797477901845e-03
8.910000000000000000e+02 1.510399999999999764e-02 1.531908143796742320e-03
8.920000000000000000e+02 1.514999999999999854e-02 1.521092395639882114e-03
8.930000000000000000e+02 1.498199999999999706e-02 1.510353010030387848e-03
8.940000000000000000e+02 1.487799999999999713e-02 1.499689447824916920e-03
8.950000000000000000e+02 1.472399999999999404e-02 1.489101173686641294e-03
8.960000000000000000e+02 1.445999999999999543e-02 1.478587656058383141e-03
8.970000000000000000e+02 1.438399999999999401e-02 1.468148367135918087e-03
8.980000000000000000e+02 1.486999999999999433e-02 1.457782782841487729e-03
8.990000000000000000e+02 1.469999999999999779e-02 1.447490382797486045e-03
9.000000000000000000e+02 1.527599999999999618e-02 1.437270650300330769e-03
9.010000000000000000e+02 1.598799999999999527e-02 1.427123072294532750e-03
9.020000000000000000e+02 1.634599999999999595e-02 1.417047139346929016e-03
9.030000000000000000e+02 1.629999999999999158e-02 1.407042345621117505e-03
9.040000000000000000e+02 1.611199999999999438e-02 1.397108188852058111e-03
9.050000000000000000e+02 1.589999999999999747e-02 1.387244170320854793e-03
9.060000000000000000e+02 1.563799999999999565e-02 1.377449794829726550e-03
9.070000000000000000e+02 1.542599999999999354e-02 1.367724570677138207e-03
